,city,state_name,state_id
0,new-york/new-york,New-York,NY
1,california/los-angeles,California,CA
2,illinois/chicago,Illinois,IL
3,florida/miami,Florida,FL
4,texas/dallas,Texas,TX
5,pennsylvania/philadelphia,Pennsylvania,PA
6,texas/houston,Texas,TX
7,georgia/atlanta,Georgia,GA
8,district-of-columbia/washington,District-of-Columbia,DC
9,massachusetts/boston,Massachusetts,MA
10,arizona/phoenix,Arizona,AZ
11,washington/seattle,Washington,WA
12,california/san-francisco,California,CA
13,michigan/detroit,Michigan,MI
14,california/san-diego,California,CA
15,minnesota/minneapolis,Minnesota,MN
16,florida/tampa,Florida,FL
17,colorado/denver,Colorado,CO
18,new-york/brooklyn,New-York,NY
19,new-york/queens,New-York,NY
20,california/riverside,California,CA
21,maryland/baltimore,Maryland,MD
22,nevada/las-vegas,Nevada,NV
23,oregon/portland,Oregon,OR
24,texas/san-antonio,Texas,TX
25,missouri/st.-louis,Missouri,MO
26,california/sacramento,California,CA
27,florida/orlando,Florida,FL
28,california/san-jose,California,CA
29,ohio/cleveland,Ohio,OH
30,pennsylvania/pittsburgh,Pennsylvania,PA
31,texas/austin,Texas,TX
32,ohio/cincinnati,Ohio,OH
33,missouri/kansas-city,Missouri,MO
34,new-york/manhattan,New-York,NY
35,indiana/indianapolis,Indiana,IN
36,ohio/columbus,Ohio,OH
37,north-carolina/charlotte,North-Carolina,NC
38,virginia/virginia-beach,Virginia,VA
39,new-york/bronx,New-York,NY
40,wisconsin/milwaukee,Wisconsin,WI
41,rhode-island/providence,Rhode-Island,RI
42,florida/jacksonville,Florida,FL
43,utah/salt-lake-city,Utah,UT
44,tennessee/nashville,Tennessee,TN
45,virginia/richmond,Virginia,VA
46,tennessee/memphis,Tennessee,TN
47,north-carolina/raleigh,North-Carolina,NC
48,louisiana/new-orleans,Louisiana,LA
49,kentucky/louisville,Kentucky,KY
50,oklahoma/oklahoma-city,Oklahoma,OK
51,connecticut/bridgeport,Connecticut,CT
52,new-york/buffalo,New-York,NY
53,texas/fort-worth,Texas,TX
54,connecticut/hartford,Connecticut,CT
55,arizona/tucson,Arizona,AZ
56,nebraska/omaha,Nebraska,NE
57,texas/el-paso,Texas,TX
58,hawaii/honolulu,Hawaii,HI
59,texas/mcallen,Texas,TX
60,new-mexico/albuquerque,New-Mexico,NM
61,alabama/birmingham,Alabama,AL
62,florida/sarasota,Florida,FL
63,ohio/dayton,Ohio,OH
64,new-york/rochester,New-York,NY
65,california/fresno,California,CA
66,pennsylvania/allentown,Pennsylvania,PA
67,oklahoma/tulsa,Oklahoma,OK
68,florida/cape-coral,Florida,FL
69,california/concord,California,CA
70,colorado/colorado-springs,Colorado,CO
71,south-carolina/charleston,South-Carolina,SC
72,massachusetts/springfield,Massachusetts,MA
73,michigan/grand-rapids,Michigan,MI
74,california/mission-viejo,California,CA
75,new-york/albany,New-York,NY
76,tennessee/knoxville,Tennessee,TN
77,california/bakersfield,California,CA
78,utah/ogden,Utah,UT
79,louisiana/baton-rouge,Louisiana,LA
80,ohio/akron,Ohio,OH
81,connecticut/new-haven,Connecticut,CT
82,south-carolina/columbia,South-Carolina,SC
83,arizona/mesa,Arizona,AZ
84,florida/palm-bay,Florida,FL
85,utah/provo,Utah,UT
86,massachusetts/worcester,Massachusetts,MA
87,california/murrieta,California,CA
88,south-carolina/greenville,South-Carolina,SC
89,kansas/wichita,Kansas,KS
90,ohio/toledo,Ohio,OH
91,new-york/staten-island,New-York,NY
92,iowa/des-moines,Iowa,IA
93,california/long-beach,California,CA
94,florida/port-st.-lucie,Florida,FL
95,texas/denton,Texas,TX
96,wisconsin/madison,Wisconsin,WI
97,nevada/reno,Nevada,NV
98,pennsylvania/harrisburg,Pennsylvania,PA
99,arkansas/little-rock,Arkansas,AR
100,california/oakland,California,CA
101,north-carolina/durham,North-Carolina,NC
102,north-carolina/winston-salem,North-Carolina,NC
103,florida/bonita-springs,Florida,FL
104,california/indio,California,CA
105,florida/palm-coast,Florida,FL
106,tennessee/chattanooga,Tennessee,TN
107,washington/spokane,Washington,WA
108,new-york/syracuse,New-York,NY
109,pennsylvania/lancaster,Pennsylvania,PA
110,texas/arlington,Texas,TX
111,california/stockton,California,CA
112,new-york/poughkeepsie,New-York,NY
113,georgia/augusta,Georgia,GA
114,idaho/boise,Idaho,ID
115,california/oxnard,California,CA
116,pennsylvania/scranton,Pennsylvania,PA
117,california/modesto,California,CA
118,florida/kissimmee,Florida,FL
119,colorado/aurora,Colorado,CO
120,ohio/youngstown,Ohio,OH
121,arkansas/fayetteville,Arkansas,AR
122,california/anaheim,California,CA
123,florida/pensacola,Florida,FL
124,california/victorville,California,CA
125,california/lancaster,California,CA
126,north-carolina/greensboro,North-Carolina,NC
127,texas/corpus-christi,Texas,TX
128,indiana/fort-wayne,Indiana,IN
129,california/santa-ana,California,CA
130,michigan/flint,Michigan,MI
131,north-carolina/fayetteville,North-Carolina,NC
132,mississippi/jackson,Mississippi,MS
133,california/santa-rosa,California,CA
134,michigan/lansing,Michigan,MI
135,puerto-rico/san-juan,Puerto-Rico,PR
136,kentucky/lexington,Kentucky,KY
137,michigan/ann-arbor,Michigan,MI
138,nevada/henderson,Nevada,NV
139,alabama/huntsville,Alabama,AL
140,alabama/mobile,Alabama,AL
141,colorado/fort-collins,Colorado,CO
142,north-carolina/asheville,North-Carolina,NC
143,california/santa-clarita,California,CA
144,minnesota/st.-paul,Minnesota,MN
145,california/antioch,California,CA
146,florida/lakeland,Florida,FL
147,new-jersey/trenton,New-Jersey,NJ
148,nebraska/lincoln,Nebraska,NE
149,missouri/springfield,Missouri,MO
150,alaska/anchorage,Alaska,AK
151,texas/plano,Texas,TX
152,california/irvine,California,CA
153,iowa/davenport,Iowa,IA
